,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
242,Providence,32,21,11,.656,12.88,6.10,,13,7,,15,2,,6,6,,2499,2282,,68.4,112.1,.368,.316,.555,54.6,53.4,9.9,11.5,.515,14.3,35.3,.274
243,Purdue,31,26,5,.839,19.55,8.94,,15,5,,14,2,,8,3,,2268,1937,,64.3,113.3,.368,.381,.562,58.4,60.1,7.6,10.1,.523,14.7,38.5,.275
244,Purdue-Fort Wayne,32,17,15,.531,-5.18,-4.68,,9,11,,9,6,,7,8,,2364,2234,,70.4,104.6,.286,.467,.546,50.7,50.0,10.4,6.4,.519,16.3,27.6,.201
245,Queens (NC),33,18,15,.545,-4.26,-4.36,,7,11,,8,5,,7,10,,2564,2463,,71.0,109.5,.353,.442,.555,52.5,51.9,8.7,5.6,.521,15.1,31.1,.254
246,Quinnipiac,32,20,12,.625,-2.39,-5.17,,11,9,,9,4,,9,6,,2335,2231,,69.3,104.0,.330,.380,.529,52.3,50.7,8.7,6.7,.502,15.5,32.1,.220
247,Radford,33,19,14,.576,-2.45,-4.49,,12,6,,10,3,,7,10,,2301,2142,,65.3,106.8,.301,.331,.547,51.6,45.9,10.9,8.9,.521,15.7,31.1,.208
248,Rhode Island,31,9,22,.290,-3.98,0.67,,5,13,,7,9,,1,10,,2046,2190,,68.3,95.4,.370,.313,.493,50.7,49.9,9.3,10.0,.442,17.4,31.6,.275
249,Rice,33,18,15,.545,-2.73,0.97,,8,12,,11,7,,6,7,,2530,2521,,70.8,106.6,.315,.433,.575,50.2,56.8,8.0,6.3,.545,16.5,23.9,.232
250,Richmond,33,15,18,.455,1.60,0.51,,7,11,,12,4,,1,11,,2273,2237,,66.4,102.2,.330,.441,.549,48.4,51.1,8.5,6.9,.512,15.5,21.0,.246
251,Rider,30,16,14,.533,-3.39,-4.81,,13,7,,8,5,,8,6,,2105,2027,,65.1,106.5,.288,.257,.530,53.4,43.0,8.1,7.2,.497,14.8,34.0,.211
252,Robert Morris,33,16,17,.485,-5.58,-5.32,,10,10,,11,4,,5,10,,2287,2205,,67.4,102.5,.265,.369,.533,50.8,54.1,9.9,10.9,.505,16.8,29.6,.191
253,Rutgers,32,19,13,.594,15.08,7.54,,10,10,,14,5,,4,7,,2175,1921,,66.4,102.0,.288,.302,.509,52.1,59.4,13.2,12.6,.477,14.8,31.8,.202
254,Sacramento State,32,14,18,.438,-4.28,-1.25,,7,11,,9,4,,5,10,,2114,2169,,63.3,102.3,.279,.359,.533,54.6,56.0,6.9,6.8,.506,17.7,33.1,.195
255,Sacred Heart,33,16,17,.485,-13.18,-11.31,,8,8,,9,6,,7,11,,2332,2351,,70.4,99.7,.276,.365,.515,49.0,51.4,11.1,8.7,.489,16.2,28.8,.187
256,Saint Francis (PA),31,13,18,.419,-13.90,-9.76,,9,7,,10,5,,3,13,,2263,2286,,69.2,105.0,.320,.360,.558,49.4,52.9,6.4,5.3,.530,16.2,25.9,.226
257,Saint Joseph's,33,16,17,.485,-0.19,-0.16,,8,10,,10,6,,4,7,,2388,2389,,69.4,103.5,.342,.459,.535,48.9,48.8,9.4,9.6,.502,15.9,28.9,.241
258,Saint Louis,32,21,11,.656,6.31,3.12,,12,6,,15,3,,4,7,,2415,2258,,69.8,108.2,.292,.327,.555,53.3,59.3,7.2,10.5,.525,15.0,30.2,.215
259,Saint Mary's (CA),33,26,7,.788,18.12,7.15,,14,2,,16,2,,6,2,,2355,1984,,63.8,110.6,.312,.372,.553,55.6,48.8,10.6,9.9,.527,14.2,33.4,.216
260,Saint Peter's,32,14,18,.438,-9.90,-5.25,,7,13,,8,6,,4,11,,1986,2083,,63.2,97.5,.289,.354,.477,51.9,46.9,9.8,10.3,.443,15.9,36.8,.199
261,Sam Houston State,32,25,7,.781,7.93,0.79,,14,4,,12,1,,10,5,,2341,1884,,66.9,108.5,.302,.373,.554,54.9,52.0,12.5,8.2,.530,16.7,34.3,.206
262,Samford,32,21,11,.656,0.67,-4.18,,15,3,,13,3,,8,7,,2519,2290,,69.9,110.9,.412,.448,.575,51.6,45.0,11.4,8.3,.533,15.6,29.3,.308
263,San Diego,31,11,20,.355,-1.58,3.77,,4,12,,8,9,,3,8,,2391,2495,,70.4,108.6,.312,.367,.553,48.8,46.9,9.4,5.2,.516,14.1,28.7,.239
264,San Diego State,32,26,6,.813,15.98,8.45,,15,3,,15,1,,8,2,,2316,2042,,66.6,107.8,.334,.358,.548,53.3,53.2,10.7,11.4,.513,15.3,32.0,.244
265,San Francisco,34,20,14,.588,6.55,4.19,,7,9,,11,5,,5,6,,2591,2496,,70.4,107.4,.322,.489,.569,51.3,49.4,9.5,6.7,.535,17.1,28.9,.241
266,San Jose State,33,20,13,.606,5.96,5.74,,10,8,,12,3,,5,8,,2228,2199,,63.3,105.5,.267,.411,.527,55.5,49.8,6.3,11.6,.504,15.7,35.1,.180
267,Santa Clara,32,23,9,.719,9.20,5.52,,11,5,,14,4,,6,3,,2482,2355,,71.4,107.4,.301,.367,.550,53.3,49.9,8.3,10.0,.523,15.0,30.0,.212
268,Seattle,32,20,12,.625,1.17,0.94,,11,7,,12,2,,7,7,,2303,2209,,70.8,101.3,.325,.445,.511,51.3,48.5,8.6,8.2,.473,14.5,29.9,.233
269,Seton Hall,32,17,15,.531,11.00,8.39,,10,10,,10,6,,6,6,,2192,2084,,67.9,100.9,.410,.329,.532,50.9,51.0,12.3,12.6,.496,17.9,31.3,.279
270,Siena,32,17,15,.531,-3.36,-4.74,,11,9,,8,5,,7,8,,2195,2151,,66.6,101.8,.345,.345,.533,51.9,53.4,8.4,10.6,.493,16.9,30.5,.254
271,South Alabama,35,19,16,.543,3.81,-0.25,,9,9,,10,4,,4,10,,2483,2282,,66.7,106.0,.220,.378,.552,47.7,41.8,9.0,10.4,.534,13.2,21.1,.151
272,South Carolina,32,11,21,.344,-1.88,6.41,,4,14,,7,8,,4,8,,2059,2324,,65.1,97.3,.268,.409,.495,49.3,47.7,7.4,7.1,.469,16.8,32.7,.177
273,South Carolina State,31,5,26,.161,-16.56,-3.96,,2,12,,4,6,,1,19,,2274,2599,,73.7,98.7,.290,.339,.505,48.8,51.9,9.7,8.8,.477,17.7,34.7,.194
274,South Carolina Upstate,31,16,15,.516,-7.64,-4.05,,10,8,,11,2,,4,12,,2136,2158,,68.4,100.4,.329,.350,.542,47.3,47.2,10.8,12.8,.519,17.4,25.3,.216
275,South Dakota,31,12,19,.387,-9.41,-2.86,,7,11,,8,6,,2,11,,2149,2282,,67.0,103.6,.272,.403,.544,49.5,51.0,6.7,4.4,.510,15.4,25.6,.208
276,South Dakota State,32,19,13,.594,-1.34,-1.60,,13,5,,10,2,,6,9,,2270,2233,,67.9,103.6,.280,.388,.555,48.8,42.0,7.6,8.3,.518,15.4,21.5,.222
277,South Florida,32,14,18,.438,2.15,2.15,,7,11,,9,9,,4,7,,2303,2303,,69.6,103.0,.307,.371,.531,52.4,50.8,9.3,8.8,.508,16.8,33.0,.200
278,Southeast Missouri State,35,19,16,.543,-7.19,-6.70,,10,8,,9,4,,5,11,,2718,2659,,73.8,103.3,.379,.398,.540,49.4,51.6,9.1,8.7,.501,15.4,26.8,.271
279,Southeastern Louisiana,32,18,14,.563,-7.64,-6.36,,12,6,,10,4,,7,8,,2483,2432,,70.4,108.1,.317,.346,.556,49.4,51.0,10.1,5.3,.522,14.9,28.9,.235
280,Southern,32,15,17,.469,-8.18,-6.11,,11,7,,9,2,,5,12,,2300,2280,,72.9,97.8,.335,.394,.530,47.7,56.1,11.8,7.4,.495,17.7,25.1,.239
281,Southern California,32,22,10,.688,13.76,8.23,,14,6,,15,2,,5,5,,2329,2152,,68.4,106.0,.338,.330,.551,49.6,51.7,10.2,13.7,.513,15.9,29.0,.252
282,Southern Illinois,33,23,10,.697,1.64,-1.64,,14,6,,13,2,,8,6,,2168,2026,,64.8,101.0,.299,.463,.553,49.4,59.7,11.1,6.0,.524,17.4,22.9,.216
283,SIU Edwardsville,33,19,14,.576,-6.29,-7.35,,9,9,,9,5,,7,8,,2463,2353,,70.7,105.5,.400,.375,.540,51.1,48.8,9.8,11.4,.497,15.6,31.4,.292
284,Southern Indiana,32,16,16,.500,-8.26,-7.33,,9,9,,10,4,,5,11,,2448,2370,,70.8,106.9,.330,.427,.544,53.3,48.8,10.2,6.9,.517,16.1,33.1,.224
285,Southern Methodist,32,10,22,.313,0.34,5.66,,5,13,,7,9,,1,11,,2248,2418,,70.6,98.0,.330,.337,.506,48.2,53.8,9.9,9.0,.474,15.7,28.1,.223
286,Southern Mississippi,32,25,7,.781,4.26,-1.74,,14,4,,15,0,,8,6,,2376,2094,,68.6,108.2,.327,.364,.548,52.2,54.5,12.2,7.6,.517,14.9,32.2,.232
287,Southern Utah,34,22,12,.647,3.80,2.20,,12,6,,13,2,,5,8,,2805,2527,,73.6,110.4,.389,.385,.570,52.8,45.6,9.9,8.8,.533,15.4,29.6,.284
288,St. Bonaventure,32,14,18,.438,-1.09,-0.19,,8,10,,11,4,,2,11,,2136,2165,,66.7,99.3,.295,.362,.522,48.7,49.4,10.4,10.4,.492,16.5,27.5,.207
289,St. Francis (NY),30,14,16,.467,-17.02,-11.70,,7,9,,10,5,,4,11,,1946,2034,,67.1,96.3,.308,.339,.499,49.1,53.6,11.0,11.8,.464,17.5,31.5,.215
290,St. John's (NY),33,18,15,.545,8.58,6.43,,7,13,,12,6,,3,9,,2552,2481,,73.8,103.3,.277,.270,.522,52.9,51.5,11.0,10.0,.494,15.9,34.0,.194
291,St. Thomas,33,19,14,.576,-2.69,-4.23,,9,9,,12,2,,4,11,,2447,2316,,67.0,110.7,.307,.445,.564,48.1,50.3,8.9,6.5,.525,13.1,24.7,.241
292,Stanford,33,14,19,.424,10.05,8.08,,7,13,,9,6,,2,8,,2321,2256,,66.1,106.4,.294,.397,.550,52.2,58.5,8.6,9.8,.524,16.4,31.1,.204
293,Stephen F. Austin,32,19,13,.594,0.95,-0.47,,11,7,,12,4,,6,5,,2427,2238,,70.9,104.9,.373,.290,.562,50.8,55.6,12.3,7.6,.528,18.6,32.0,.267
294,Stetson,30,17,13,.567,-2.56,-2.56,,12,6,,9,3,,7,9,,2298,2200,,65.5,114.5,.245,.436,.577,50.9,50.4,7.6,8.8,.550,13.6,29.7,.189
295,Stonehill,31,14,17,.452,-13.25,-8.98,,10,6,,7,4,,6,12,,2076,2157,,67.5,98.0,.321,.415,.552,46.1,52.8,10.3,8.1,.514,18.1,19.9,.243
296,Stony Brook,33,11,22,.333,-12.41,-4.08,,6,12,,7,7,,3,13,,2083,2279,,65.1,96.7,.287,.452,.522,49.1,53.6,6.7,7.6,.486,17.1,23.0,.214
297,Syracuse,32,17,15,.531,5.39,4.18,,10,10,,11,7,,5,6,,2372,2333,,68.3,107.7,.306,.290,.550,49.0,52.7,10.9,15.7,.515,14.7,29.9,.229
298,Tarleton State,33,17,16,.515,-0.42,2.07,,8,9,,12,2,,2,12,,2376,2236,,69.3,103.5,.450,.257,.539,48.7,51.9,14.0,10.0,.497,15.7,28.0,.315
299,TCU,33,21,12,.636,16.26,8.98,,9,9,,13,4,,3,7,,2481,2241,,70.8,105.7,.339,.294,.534,50.8,58.6,11.6,12.5,.502,14.8,32.4,.238
300,Temple,31,16,15,.516,4.96,5.59,,10,8,,9,7,,6,6,,2173,2163,,67.0,102.5,.351,.437,.544,50.5,58.9,7.3,10.2,.501,17.3,28.5,.266
301,Tennessee,32,23,9,.719,21.91,8.15,,11,7,,14,2,,4,6,,2298,1836,,66.2,108.1,.311,.402,.534,54.9,66.5,12.7,12.1,.502,15.1,37.0,.221
302,Tennessee State,32,18,14,.563,-8.83,-8.76,,10,8,,13,4,,4,8,,2499,2401,,72.8,107.3,.359,.416,.552,50.3,49.2,8.0,9.0,.521,15.1,28.5,.249
303,Tennessee Tech,33,16,17,.485,-9.22,-6.18,,11,7,,11,5,,4,11,,2432,2421,,69.3,103.5,.290,.421,.543,48.4,55.3,8.8,6.5,.514,15.7,26.0,.208
304,Tennessee-Martin,33,19,14,.576,-8.49,-7.73,,10,8,,14,2,,4,11,,2658,2489,,73.5,108.3,.345,.375,.555,51.3,47.6,10.1,9.2,.521,14.1,28.6,.249
305,Texas,33,25,8,.758,21.31,10.87,,12,6,,17,1,,4,6,,2571,2236,,70.4,109.4,.319,.352,.562,49.4,57.3,11.4,10.5,.527,14.5,28.2,.240
306,Texas A&M,32,24,8,.750,15.10,7.28,,15,3,,15,1,,7,4,,2340,2094,,67.2,108.8,.462,.340,.546,53.8,52.8,10.2,8.1,.490,15.6,36.7,.352
307,Texas A&M-Commerce,33,13,20,.394,-10.60,-7.26,,10,10,,7,7,,7,12,,2362,2421,,66.8,104.8,.276,.459,.552,48.6,55.2,8.5,8.4,.528,16.5,27.4,.194
308,Texas A&M-Corpus Christi,33,23,10,.697,-2.31,-7.66,,14,4,,14,2,,7,7,,2653,2394,,71.6,111.4,.345,.346,.564,52.6,56.1,12.1,5.2,.521,15.4,33.5,.272
309,Texas Southern,32,12,20,.375,-9.45,-4.48,,7,11,,7,6,,3,13,,2226,2315,,71.1,95.6,.332,.282,.500,51.3,45.4,9.1,8.8,.470,17.4,30.4,.217
310,Texas State,35,16,19,.457,-2.06,-0.43,,6,12,,4,10,,7,7,,2309,2334,,64.9,101.7,.328,.261,.521,51.5,40.8,9.7,10.3,.482,15.6,31.5,.239
311,Texas Tech,32,16,16,.500,13.11,8.77,,5,13,,11,6,,3,7,,2347,2208,,68.9,105.7,.348,.368,.556,51.7,49.7,10.5,8.7,.523,17.3,32.1,.251
312,Texas-Rio Grande Valley,32,15,17,.469,-6.17,-0.25,,5,12,,12,6,,3,10,,2518,2502,,74.3,105.1,.433,.354,.564,52.4,58.2,6.3,8.3,.529,18.7,30.9,.302
313,The Citadel,32,10,22,.313,-11.97,-3.61,,5,13,,5,9,,4,11,,2158,2374,,68.2,98.9,.288,.393,.531,46.1,47.3,8.1,7.8,.496,16.2,21.8,.217
314,Toledo,33,27,6,.818,6.51,-2.35,,16,2,,13,1,,10,3,,2842,2518,,71.2,120.9,.352,.351,.604,50.6,50.2,9.8,7.6,.570,12.3,30.6,.272
315,Towson,33,21,12,.636,0.29,-4.74,,12,6,,10,2,,8,7,,2368,2202,,65.7,108.1,.298,.345,.540,54.4,53.6,9.4,10.2,.511,15.6,35.7,.211
316,Troy,33,20,13,.606,1.64,-0.99,,11,7,,11,3,,7,8,,2414,2204,,69.2,105.0,.325,.410,.538,50.3,52.1,12.5,7.4,.507,15.9,30.8,.228
317,Tulane,30,20,10,.667,5.83,3.05,,12,6,,12,3,,5,4,,2424,2298,,73.8,107.6,.354,.380,.574,45.5,56.5,11.3,11.0,.532,13.7,18.9,.277
318,Tulsa,30,5,25,.167,-8.04,4.10,,1,17,,4,10,,0,12,,1959,2323,,68.7,94.2,.267,.424,.502,45.2,48.7,7.9,4.1,.479,16.9,24.8,.173
319,UAB,33,24,9,.727,9.79,1.11,,14,6,,15,2,,6,5,,2721,2354,,71.3,112.3,.362,.317,.555,54.2,51.6,11.3,11.6,.518,14.9,36.6,.265
320,UC Davis,32,18,14,.563,0.14,-1.29,,11,8,,10,4,,5,9,,2392,2274,,70.9,104.2,.434,.346,.545,53.0,48.1,9.9,6.9,.503,17.7,33.7,.308
321,UC Irvine,34,23,11,.676,5.11,-0.61,,15,5,,11,4,,9,6,,2559,2268,,69.9,107.3,.296,.316,.560,52.6,53.5,9.9,6.5,.533,15.5,28.3,.213
322,UC Riverside,34,22,12,.647,1.18,0.12,,14,6,,9,4,,9,7,,2463,2352,,67.4,105.9,.257,.383,.536,53.7,49.7,7.5,4.7,.512,15.4,32.0,.179
323,UC San Diego,30,10,20,.333,-6.47,-0.29,,5,13,,4,10,,6,9,,2057,2189,,67.0,99.9,.274,.404,.529,47.6,48.5,8.4,5.8,.497,15.7,23.7,.203
324,UC Santa Barbara,34,27,7,.794,3.91,-2.16,,15,5,,12,3,,10,4,,2454,2231,,65.6,109.7,.348,.295,.577,51.5,53.6,9.8,6.8,.545,15.3,27.0,.253
325,UCLA,34,29,5,.853,22.60,8.99,,18,2,,17,0,,9,2,,2513,2050,,67.3,109.8,.271,.291,.537,52.7,50.9,12.5,11.9,.509,13.0,33.6,.196
326,UNC Asheville,34,27,7,.794,-1.48,-5.33,,16,2,,13,0,,10,6,,2551,2332,,69.5,106.4,.413,.374,.580,50.8,49.8,9.0,10.1,.550,17.9,26.4,.287
327,UNC Greensboro,32,20,12,.625,1.72,-2.85,,14,4,,11,3,,8,6,,2306,2064,,67.2,106.4,.321,.392,.546,52.6,57.0,10.5,7.8,.515,15.1,30.2,.229
328,UNC Wilmington,34,24,10,.706,-1.19,-3.07,,12,6,,11,3,,8,6,,2343,2187,,65.4,104.2,.380,.341,.542,50.5,44.9,10.2,8.4,.501,15.9,29.0,.277
329,UT Arlington,32,11,21,.344,-4.76,2.35,,6,12,,6,8,,4,9,,2125,2190,,67.6,97.9,.306,.345,.498,51.5,56.0,9.4,9.0,.470,17.2,34.5,.201
330,Utah,32,17,15,.531,11.89,5.99,,10,10,,13,5,,4,7,,2197,2043,,66.5,102.9,.292,.377,.521,52.8,58.4,7.5,10.1,.490,15.4,31.3,.207
331,Utah State,32,25,7,.781,15.26,7.29,,13,5,,14,2,,6,4,,2542,2246,,69.2,114.3,.350,.423,.605,53.0,62.4,7.4,8.5,.571,15.6,27.5,.269
332,Utah Tech,33,14,19,.424,0.16,1.33,,5,13,,9,5,,3,13,,2495,2420,,70.8,105.9,.437,.416,.573,51.5,52.4,9.3,6.4,.539,18.6,29.3,.307
333,Utah Valley,33,25,8,.758,7.28,0.91,,15,3,,13,1,,10,5,,2539,2244,,71.9,105.9,.365,.338,.558,52.3,59.1,9.1,16.1,.519,16.7,29.6,.271
334,UTEP,32,14,18,.438,-1.02,1.54,,7,13,,11,7,,3,10,,2192,2192,,68.3,97.7,.394,.302,.520,51.7,48.4,12.8,7.9,.493,19.3,33.2,.249
335,UTSA,32,10,22,.313,-8.02,0.88,,4,16,,8,10,,2,11,,2217,2450,,69.5,98.9,.361,.385,.518,48.9,44.6,6.1,6.6,.475,17.0,29.3,.265
336,Valparaiso,32,11,21,.344,-8.26,-2.30,,5,15,,8,7,,2,12,,2206,2355,,68.7,98.1,.282,.361,.525,49.3,53.6,8.3,7.0,.493,16.2,22.9,.205
337,Vanderbilt,33,20,13,.606,9.29,8.88,,11,7,,12,5,,5,6,,2390,2364,,66.9,107.4,.324,.422,.531,49.9,46.7,7.2,12.1,.497,13.5,31.3,.231
338,Vermont,32,22,10,.688,1.77,-3.67,,14,2,,13,1,,9,6,,2338,2139,,65.6,110.0,.284,.425,.574,49.4,51.2,8.9,8.1,.553,12.9,20.7,.198
339,Villanova,32,17,15,.531,10.79,8.67,,10,10,,10,4,,5,8,,2250,2168,,64.9,107.9,.306,.480,.567,49.1,47.3,8.5,5.2,.523,14.0,22.4,.253
340,Virginia,31,25,6,.806,13.69,6.13,,15,5,,15,1,,6,5,,2121,1869,,62.4,109.2,.345,.361,.548,50.1,66.0,11.1,13.5,.517,11.9,25.7,.241
341,Virginia Commonwealth,32,25,7,.781,9.84,1.41,,15,3,,15,3,,8,3,,2271,2005,,68.6,103.4,.421,.328,.555,50.2,52.4,13.2,12.7,.518,17.6,28.7,.296
342,VMI,32,7,25,.219,-16.12,-3.44,,2,16,,6,8,,1,14,,2220,2457,,67.5,101.9,.211,.458,.525,51.1,45.6,7.9,3.9,.496,16.3,30.4,.162
343,Virginia Tech,33,19,14,.576,9.58,5.13,,8,12,,13,4,,2,9,,2449,2302,,66.7,110.8,.264,.396,.568,49.9,56.9,7.9,8.5,.542,13.2,26.1,.194
344,Wagner,28,15,13,.536,-12.24,-11.27,,8,8,,8,4,,7,9,,1766,1727,,63.5,98.5,.248,.358,.486,53.7,51.8,10.5,5.8,.458,15.6,35.2,.169
345,Wake Forest,33,19,14,.576,8.24,5.43,,10,10,,13,3,,4,8,,2528,2435,,70.1,108.5,.321,.454,.574,49.7,50.6,8.5,7.4,.542,15.4,24.8,.239
346,Washington,32,16,16,.500,7.30,8.45,,8,12,,12,6,,2,9,,2213,2250,,69.2,98.4,.317,.366,.528,47.1,46.8,9.8,13.1,.488,17.6,26.4,.237
347,Washington State,33,17,16,.515,11.41,8.50,,11,9,,10,3,,5,8,,2250,2154,,64.6,105.1,.282,.431,.534,52.4,49.6,7.3,7.3,.504,15.8,31.8,.202
348,Weber State,33,18,15,.545,-2.61,-0.99,,12,6,,8,4,,8,8,,2219,2229,,65.7,100.5,.335,.375,.554,49.7,45.1,9.1,4.6,.514,17.4,21.3,.257
349,West Virginia,33,19,14,.576,16.53,11.26,,7,11,,13,4,,3,8,,2518,2344,,69.9,108.8,.397,.363,.558,52.0,50.6,9.5,8.7,.517,16.0,33.7,.294
350,Western Carolina,33,18,15,.545,-6.20,-4.17,,10,8,,9,5,,6,9,,2457,2340,,68.5,106.6,.340,.423,.539,51.4,49.5,7.8,6.4,.504,13.5,27.6,.244
351,Western Illinois,30,16,14,.533,-7.13,-4.28,,9,9,,11,4,,5,9,,2191,2171,,68.8,105.7,.319,.372,.542,49.9,51.6,8.4,9.0,.513,13.7,27.0,.223
352,Western Kentucky,33,17,16,.515,-1.17,0.74,,8,12,,9,5,,5,9,,2355,2330,,68.4,103.5,.315,.364,.537,48.3,49.6,9.0,15.0,.505,14.9,26.0,.224
353,Western Michigan,31,8,23,.258,-10.16,-1.95,,4,14,,7,7,,1,15,,2166,2295,,66.7,104.7,.265,.416,.529,53.4,50.4,6.9,6.4,.501,16.2,34.3,.189
354,Wichita State,32,17,15,.531,6.21,3.68,,9,9,,8,8,,7,4,,2272,2191,,67.8,103.1,.308,.372,.539,51.5,51.5,9.2,11.3,.507,16.0,29.1,.221
355,William & Mary,33,13,20,.394,-10.97,-4.17,,7,11,,11,5,,1,14,,2219,2320,,65.3,102.6,.306,.382,.530,49.6,50.7,9.2,5.7,.502,16.0,29.2,.208
356,Winthrop,32,15,17,.469,-6.58,-3.55,,10,8,,10,4,,4,11,,2360,2382,,67.8,108.4,.408,.453,.592,47.7,46.5,7.5,8.4,.556,18.3,26.5,.301
357,Wisconsin,31,17,14,.548,10.68,9.56,,9,11,,9,6,,5,6,,2013,1978,,63.1,100.5,.241,.405,.508,47.0,49.0,9.4,4.2,.485,12.0,22.4,.161
358,Wofford,33,17,16,.515,-4.83,-3.13,,8,10,,12,4,,4,11,,2466,2392,,66.4,110.8,.288,.390,.566,51.5,45.5,8.4,6.1,.537,14.2,29.8,.212
359,Wright State,33,18,15,.545,-2.10,-5.65,,10,10,,9,6,,7,8,,2637,2432,,72.0,108.5,.242,.276,.569,51.6,48.0,8.5,7.8,.546,15.3,27.3,.178
360,Wyoming,31,9,22,.290,2.64,6.74,,4,14,,7,8,,1,8,,2144,2234,,66.4,103.7,.332,.457,.551,49.3,46.6,7.3,7.5,.520,16.0,24.1,.236
361,Xavier,33,25,8,.758,16.42,9.07,,15,5,,15,2,,7,4,,2717,2453,,72.0,113.9,.312,.313,.587,54.1,63.8,9.2,7.9,.562,15.2,31.8,.225
362,Yale,27,20,7,.741,8.42,-2.43,,10,4,,10,1,,8,6,,2066,1692,,67.5,112.3,.300,.352,.568,54.8,51.3,9.5,12.1,.545,14.2,30.2,.208
363,Youngstown State,33,24,9,.727,1.73,-6.18,,15,5,,14,2,,9,6,,2721,2396,,69.5,116.4,.297,.353,.588,52.0,51.4,9.9,6.8,.556,13.7,31.3,.231