seed,name
1,HOUSTON
1,ALABAMA
1,KANSAS
1,UCLA
2,PURDUE
2,Tennessee
2,Arizona
2,GONZAGA
3,Texas
3,Baylor
3,MARQUETTE
3,Connecticut
4,Kansas State
4,Saint Mary's (CA)
4,SAN DIEGO STATE
4,Xavier
5,VIRGINIA
5,Indiana
5,Creighton
5,TCU
6,Miami (FL)
6,Maryland
6,Kentucky
6,Arkansas
7,Duke
7,Texas A&M
7,Utah State
7,Boise State
8,Michigan State
8,Southern California
8,FLORIDA ATLANTIC
8,West Virginia
9,Iowa State
9,Memphis
9,Providence
9,Iowa
10,Auburn
10,Nevada
10,Illinois
10,Rutgers
11,Northwestern
11,Missouri
11,NC State
11,Mississippi State
11,North Carolina
11,Arizona State
12,ORAL ROBERTS
12,VIRGINIA COMMONWEALTH
12,COLLEGE OF CHARLESTON
12,SAM HOUSTON STATE
13,LIBERTY
13,BRADLEY
13,KENT STATE
13,IONA
14,MARSHALL
14,YALE
14,FURMAN
14,UC IRVINE
15,MONTANA STATE
15,YOUNGSTOWN STATE
15,COLGATE
15,VERMONT
16,UNC ASHEVILLE
16,NORFOLK STATE
16,TEXAS A&M-CORPUS CHRISTI
16,GRAMBLING
16,FAIRLEIGH DICKINSON
16,MOREHEAD STATE